Country,Scale,Base Year,2017,2018,2019,2020,2021,2022,2023
Italy,Millions,,1736592.8,1771391.2,1796648.5,1661239.8,1822344.5,1946479.1,...
Jamaica,Millions,,1895025.0,2027251.0,2110433.0,1966928.0,2210219,2623255,...
Japan,Millions,,553073000.0,556630100.0,557910900.0,539284600.0,550074300,557227000,...
Jordan,Millions,,29542.0,30793.31,31945.74,31369.44,32478.43,34624.4975458535,...
"Kazakhstan, Rep. of",Millions,,54378860.0,61819540.0,69532620.0,70649030.0,83951590,103883144.754539,...
Kenya,Millions,,8483396.0,9340307.0,10237727.0,10715070.0,12027661.5,13483003.25,...
Kiribati,Millions,,245.532025766341,262.639846641616,252.344152893841,258.139185412879,302.792505059579,...,...
"Korea, Rep. of",Millions,,1835698200.0,1898192600.0,1924498000.0,1940726300.0,2080198500,2161773900,...
"Kosovo, Rep. of",Millions,,6356.45,6671.51,7056.17,6771.59,7957.87,8954.88,...
Kuwait,Millions,,36610.7,41731.0849490627,41349.3363909442,32445.0,41217,...,...
Kyrgyz Rep.,Millions,,530476.0,569385.6,619102.7,601820.3,739818.5,919444.6,...
Lao People's Dem. Rep.,Millions,,140749000.0,152414200.0,162657000.0,172611900.0,184982000,...,...
Latvia,Millions,,26984.43277452,29153.55566951,30572.86910214,30109.462253060003,33348.93154433,38870.02769581,...
Lebanon,Millions,,80387137.4451074,83328807.5100108,80736118.9645137,95795731.1548229,...,...,...
"Lesotho, Kingdom of",Millions,,30735.0,33829.0,35197.0,34856.0,35076,41769.296759609104,...
Liberia,Millions,,374268.86316798604,470223.221894336,574244.318105089,581688.972385296,582820.767534002,...,...
Libya,Millions,,93605.0,104674.0,96836.0,65048.0,176089,...,...
Lithuania,Millions,,42276.297249,45515.22595,48959.160477,49873.172424,56478.107351,67399.061872,...
Luxembourg,Millions,,58168.784,60121.164,62431.529,64524.267,72360.86,77529,...
"Madagascar, Rep. of",Millions,,41058840.0,45886300.0,51035216.51,49435649.38,54675828.22,...,...
Malawi,Millions,,6531220.0,7235940.0,8219850.0,8815340.0,9596860,...,...
Malaysia,Millions,,1372309.832,1447759.635,1512737.754,1418000.344,1545371.584,...,...
Maldives,Millions,,73152.50409304089,81586.189414376,86258.60465865601,57568.6677296891,80191.53715678971,...,...
Mali,Millions,,8922205.0,9481952.937823769,10124689.257284801,10052835.6469076,10623175.065766199,...,...
Malta,Millions,,11936.597299,13044.024383,14285.608022,13353.750729,15292.623517,17212.471076,...
"Marshall Islands, Rep. of the",Millions,,212.70124816894503,219.330307006836,232.092269897461,241.72235107421898,259.538665771484,...,...
"Mauritania, Islamic Rep. of",Millions,,243406.9,266637.6,295952.627340264,312593.493386676,360497.75032005203,...,...
Mauritius,Millions,,472861.0,500047.0,512108.0,448596.0,478477,569883,...
Mexico,Millions,,22536210.3,24176670.4,25143134.2,24079804.3,26608701.4,29503758.3,...
"Micronesia, Federated States of",Millions,,366.7,401.9,415.896517412935,411.702884615385,406.901213592233,...,...
"Moldova, Rep. of",Millions,,176007.292884072,189062.627324553,206256.239221573,199733.68267888197,242078.628566587,274207.499350228,...
Mongolia,Millions,,28010710.6,32582629.1,37839225.4,37883041.7,44702733.243,54877815.56,...
Montenegro,Millions,,4299.09,4663.13,4950.72,4185.55,4955.12,5924.02,...
